date_key,full_date,year,month,month_name,week_number,quarter,is_rainy_season
1,2015-01-01,2015,1,January,1,1,0
2,2015-01-02,2015,1,January,1,1,0
3,2015-01-03,2015,1,January,1,1,0
4,2015-01-04,2015,1,January,1,1,0
5,2015-01-05,2015,1,January,2,1,0
6,2015-01-06,2015,1,January,2,1,0
7,2015-01-07,2015,1,January,2,1,0
8,2015-01-08,2015,1,January,2,1,0
9,2015-01-09,2015,1,January,2,1,0
10,2015-01-10,2015,1,January,2,1,0
11,2015-01-11,2015,1,January,2,1,0
12,2015-01-12,2015,1,January,3,1,0
13,2015-01-13,2015,1,January,3,1,0
14,2015-01-14,2015,1,January,3,1,0
15,2015-01-15,2015,1,January,3,1,0
16,2015-01-16,2015,1,January,3,1,0
17,2015-01-17,2015,1,January,3,1,0
18,2015-01-18,2015,1,January,3,1,0
19,2015-01-19,2015,1,January,4,1,0
20,2015-01-20,2015,1,January,4,1,0
21,2015-01-21,2015,1,January,4,1,0
22,2015-01-22,2015,1,January,4,1,0
23,2015-01-23,2015,1,January,4,1,0
24,2015-01-24,2015,1,January,4,1,0
25,2015-01-25,2015,1,January,4,1,0
26,2015-01-26,2015,1,January,5,1,0
27,2015-01-27,2015,1,January,5,1,0
28,2015-01-28,2015,1,January,5,1,0
29,2015-01-29,2015,1,January,5,1,0
30,2015-01-30,2015,1,January,5,1,0
31,2015-01-31,2015,1,January,5,1,0
32,2015-02-01,2015,2,February,5,1,0
33,2015-02-02,2015,2,February,6,1,0
34,2015-02-03,2015,2,February,6,1,0
35,2015-02-04,2015,2,February,6,1,0
36,2015-02-05,2015,2,February,6,1,0
37,2015-02-06,2015,2,February,6,1,0
38,2015-02-07,2015,2,February,6,1,0
39,2015-02-08,2015,2,February,6,1,0
40,2015-02-09,2015,2,February,7,1,0
41,2015-02-10,2015,2,February,7,1,0
42,2015-02-11,2015,2,February,7,1,0
43,2015-02-12,2015,2,February,7,1,0
44,2015-02-13,2015,2,February,7,1,0
45,2015-02-14,2015,2,February,7,1,0
46,2015-02-15,2015,2,February,7,1,0
47,2015-02-16,2015,2,February,8,1,0
48,2015-02-17,2015,2,February,8,1,0
49,2015-02-18,2015,2,February,8,1,0
50,2015-02-19,2015,2,February,8,1,0
51,2015-02-20,2015,2,February,8,1,0
52,2015-02-21,2015,2,February,8,1,0
53,2015-02-22,2015,2,February,8,1,0
54,2015-02-23,2015,2,February,9,1,0
55,2015-02-24,2015,2,February,9,1,0
56,2015-02-25,2015,2,February,9,1,0
57,2015-02-26,2015,2,February,9,1,0
58,2015-02-27,2015,2,February,9,1,0
59,2015-02-28,2015,2,February,9,1,0
60,2015-03-01,2015,3,March,9,1,1
61,2015-03-02,2015,3,March,10,1,1
62,2015-03-03,2015,3,March,10,1,1
63,2015-03-04,2015,3,March,10,1,1
64,2015-03-05,2015,3,March,10,1,1
65,2015-03-06,2015,3,March,10,1,1
66,2015-03-07,2015,3,March,10,1,1
67,2015-03-08,2015,3,March,10,1,1
68,2015-03-09,2015,3,March,11,1,1
69,2015-03-10,2015,3,March,11,1,1
70,2015-03-11,2015,3,March,11,1,1
71,2015-03-12,2015,3,March,11,1,1
72,2015-03-13,2015,3,March,11,1,1
73,2015-03-14,2015,3,March,11,1,1
74,2015-03-15,2015,3,March,11,1,1
75,2015-03-16,2015,3,March,12,1,1
76,2015-03-17,2015,3,March,12,1,1
77,2015-03-18,2015,3,March,12,1,1
78,2015-03-19,2015,3,March,12,1,1
79,2015-03-20,2015,3,March,12,1,1
80,2015-03-21,2015,3,March,12,1,1
81,2015-03-22,2015,3,March,12,1,1
82,2015-03-23,2015,3,March,13,1,1
83,2015-03-24,2015,3,March,13,1,1
84,2015-03-25,2015,3,March,13,1,1
85,2015-03-26,2015,3,March,13,1,1
86,2015-03-27,2015,3,March,13,1,1
87,2015-03-28,2015,3,March,13,1,1
88,2015-03-29,2015,3,March,13,1,1
89,2015-03-30,2015,3,March,14,1,1
90,2015-03-31,2015,3,March,14,1,1
91,2015-04-01,2015,4,April,14,2,1
92,2015-04-02,2015,4,April,14,2,1
93,2015-04-03,2015,4,April,14,2,1
94,2015-04-04,2015,4,April,14,2,1
95,2015-04-05,2015,4,April,14,2,1
96,2015-04-06,2015,4,April,15,2,1
97,2015-04-07,2015,4,April,15,2,1
98,2015-04-08,2015,4,April,15,2,1
99,2015-04-09,2015,4,April,15,2,1
100,2015-04-10,2015,4,April,15,2,1
101,2015-04-11,2015,4,April,15,2,1
102,2015-04-12,2015,4,April,15,2,1
103,2015-04-13,2015,4,April,16,2,1
104,2015-04-14,2015,4,April,16,2,1
105,2015-04-15,2015,4,April,16,2,1
106,2015-04-16,2015,4,April,16,2,1
107,2015-04-17,2015,4,April,16,2,1
108,2015-04-18,2015,4,April,16,2,1
109,2015-04-19,2015,4,April,16,2,1
110,2015-04-20,2015,4,April,17,2,1
111,2015-04-21,2015,4,April,17,2,1
112,2015-04-22,2015,4,April,17,2,1
113,2015-04-23,2015,4,April,17,2,1
114,2015-04-24,2015,4,April,17,2,1
115,2015-04-25,2015,4,April,17,2,1
116,2015-04-26,2015,4,April,17,2,1
117,2015-04-27,2015,4,April,18,2,1
118,2015-04-28,2015,4,April,18,2,1
119,2015-04-29,2015,4,April,18,2,1
120,2015-04-30,2015,4,April,18,2,1
121,2015-05-01,2015,5,May,18,2,1
122,2015-05-02,2015,5,May,18,2,1
123,2015-05-03,2015,5,May,18,2,1
124,2015-05-04,2015,5,May,19,2,1
125,2015-05-05,2015,5,May,19,2,1
126,2015-05-06,2015,5,May,19,2,1
127,2015-05-07,2015,5,May,19,2,1
128,2015-05-08,2015,5,May,19,2,1
129,2015-05-09,2015,5,May,19,2,1
130,2015-05-10,2015,5,May,19,2,1
131,2015-05-11,2015,5,May,20,2,1
132,2015-05-12,2015,5,May,20,2,1
133,2015-05-13,2015,5,May,20,2,1
134,2015-05-14,2015,5,May,20,2,1
135,2015-05-15,2015,5,May,20,2,1
136,2015-05-16,2015,5,May,20,2,1
137,2015-05-17,2015,5,May,20,2,1
138,2015-05-18,2015,5,May,21,2,1
139,2015-05-19,2015,5,May,21,2,1
140,2015-05-20,2015,5,May,21,2,1
141,2015-05-21,2015,5,May,21,2,1
142,2015-05-22,2015,5,May,21,2,1
143,2015-05-23,2015,5,May,21,2,1
144,2015-05-24,2015,5,May,21,2,1
145,2015-05-25,2015,5,May,22,2,1
146,2015-05-26,2015,5,May,22,2,1
147,2015-05-27,2015,5,May,22,2,1
148,2015-05-28,2015,5,May,22,2,1
149,2015-05-29,2015,5,May,22,2,1
150,2015-05-30,2015,5,May,22,2,1
151,2015-05-31,2015,5,May,22,2,1
152,2015-06-01,2015,6,June,23,2,1
153,2015-06-02,2015,6,June,23,2,1
154,2015-06-03,2015,6,June,23,2,1
155,2015-06-04,2015,6,June,23,2,1
156,2015-06-05,2015,6,June,23,2,1
157,2015-06-06,2015,6,June,23,2,1
158,2015-06-07,2015,6,June,23,2,1
159,2015-06-08,2015,6,June,24,2,1
160,2015-06-09,2015,6,June,24,2,1
161,2015-06-10,2015,6,June,24,2,1
162,2015-06-11,2015,6,June,24,2,1
163,2015-06-12,2015,6,June,24,2,1
164,2015-06-13,2015,6,June,24,2,1
165,2015-06-14,2015,6,June,24,2,1
166,2015-06-15,2015,6,June,25,2,1
167,2015-06-16,2015,6,June,25,2,1
168,2015-06-17,2015,6,June,25,2,1
169,2015-06-18,2015,6,June,25,2,1
170,2015-06-19,2015,6,June,25,2,1
171,2015-06-20,2015,6,June,25,2,1
172,2015-06-21,2015,6,June,25,2,1
173,2015-06-22,2015,6,June,26,2,1
174,2015-06-23,2015,6,June,26,2,1
175,2015-06-24,2015,6,June,26,2,1
176,2015-06-25,2015,6,June,26,2,1
177,2015-06-26,2015,6,June,26,2,1
178,2015-06-27,2015,6,June,26,2,1
179,2015-06-28,2015,6,June,26,2,1
180,2015-06-29,2015,6,June,27,2,1
181,2015-06-30,2015,6,June,27,2,1
182,2015-07-01,2015,7,July,27,3,1
183,2015-07-02,2015,7,July,27,3,1
184,2015-07-03,2015,7,July,27,3,1
185,2015-07-04,2015,7,July,27,3,1
186,2015-07-05,2015,7,July,27,3,1
187,2015-07-06,2015,7,July,28,3,1
188,2015-07-07,2015,7,July,28,3,1
189,2015-07-08,2015,7,July,28,3,1
190,2015-07-09,2015,7,July,28,3,1
191,2015-07-10,2015,7,July,28,3,1
