facility_key,facility_name,facility_type,number_of_beds,number_of_nurses,number_of_doctors,distance_to_community,facility_location_key
1,Ford LLC,Hospital,154,63,5,6.876626531566904,811
2,"Watts, Robinson and Nguyen",Hospital,364,88,24,26.662370212824626,883
3,Perez Inc,Hospital,180,8,43,8.481543645076243,9595
4,Morales-Jones,Clinic,489,69,1,20.882309440869214,3795
5,"Walter, Edwards and Rios",Maternity Home,409,17,10,11.914662961436312,9481
6,Wilkerson-Day,Maternity Home,37,71,43,7.937351136342353,5308
7,Baker and Sons,Clinic,469,16,47,4.4070174738650305,9090
8,"Hoffman, Baker and Richards",Maternity Home,188,97,35,29.16853268377965,8122
9,"Ross, Robinson and Bright",Clinic,161,59,31,15.68135477360578,9409
10,"Snyder, Campos and Callahan",Hospital,57,65,15,3.5311742963858874,5230
11,Burton Ltd,Clinic,300,99,11,6.044537884793383,2956
12,Carlson-Cruz,Maternity Home,206,45,9,12.278182623738324,2954
13,"Ferrell, Rice and Maddox",Hospital,278,40,2,16.37069874578931,3571
14,Frazier Inc,Clinic,179,6,44,5.535724267366554,5743
15,"Dyer, Potter and Mack",Clinic,248,26,30,8.404077897544322,5185
16,Rodriguez-Graham,Hospital,273,26,16,23.532819120985334,1089
17,Smith-Bowen,Hospital,415,45,48,12.582699836623814,317
18,"Baker, Mason and White",Hospital,450,99,1,0.14193079804889663,6239
19,Harrell LLC,Hospital,78,18,48,1.7128146233530588,7971
20,"Romero, Gonzalez and Brooks",Maternity Home,100,97,6,13.23592054356455,395
21,Ryan PLC,Maternity Home,365,39,46,1.8975203537866616,5316
22,George Group,Hospital,177,54,11,5.299741913172064,9766
23,Rodriguez LLC,Clinic,391,13,33,21.863505635655912,1063
24,Allen-Allen,Clinic,410,63,17,14.463476359174967,2424
25,"Arroyo, Miller and Tucker",Maternity Home,159,60,34,14.525611801561423,4552
26,Spence PLC,Maternity Home,187,95,46,17.98672094575917,4372
27,Anderson Group,Hospital,327,14,40,23.67670817771585,5675
28,"Martin, Rose and Obrien",Hospital,293,29,25,4.841719937332991,3582
29,Hickman Ltd,Hospital,262,49,22,5.2741230490856745,6549
30,"Harris, Collins and Carney",Clinic,79,15,26,3.729975121748071,4259
31,"Brooks, Lam and Hayes",Hospital,178,13,27,28.111195389620825,9835
32,Walker LLC,Maternity Home,334,11,38,17.36097768673568,4896
33,Chapman and Sons,Hospital,235,75,9,2.8699486463286,6948
34,"Robinson, Jones and Welch",Maternity Home,251,38,37,6.69730227095868,7785
35,Jones Inc,Hospital,165,87,5,21.795142492394085,7237
36,Jones-Young,Hospital,190,24,18,0.9668511966445837,5229
37,"Washington, Ryan and Cummings",Maternity Home,395,93,22,21.797101183810504,1543
38,"Johnston, Sanchez and Kennedy",Clinic,147,9,46,27.352786103962536,2900
39,Lee-Davis,Clinic,286,97,12,1.7858147965644775,1479
40,Gomez-Jenkins,Maternity Home,399,59,44,5.673971328180903,9204
41,"Brown, Valdez and Lucas",Clinic,132,95,22,0.17112018824576153,9624
42,Powell LLC,Maternity Home,170,93,6,3.3600123862545708,8649
43,Wright and Sons,Maternity Home,31,19,36,18.548046468100058,5011
