worker_key,worker_id,worker_role,years_of_experience,certification_status,specialization,healthcare_facility_key
1,44f46ef3-c6b8-4191-bfd1-e8f21c6479c6,Nurse,36,Certified,General,2637
2,5eafe559-1458-48f0-8c9b-d99240c8a03d,Doctor,8,Certified,Surgery,4226
3,1cdc849a-8b46-4e99-ada2-9e52707d5478,Midwife,29,Uncertified,Surgery,4239
4,36d43b13-b61a-44a7-8fc5-668bb4ec7e8e,Doctor,18,Uncertified,Surgery,5353
5,11856991-e442-4699-a116-2d0db3faec91,Doctor,5,Uncertified,General,9382
6,6196ec64-89fc-420c-aa00-944f129bebaa,Midwife,5,Certified,Obstetrics,7523
7,62ff74f4-4e92-478b-9a1b-32281e4677ae,Midwife,25,Certified,Pediatrics,3649
8,32c011f1-dc18-4c23-87f2-bde7eadce244,Nurse,1,Uncertified,Surgery,3827
9,16de10e9-137d-4010-a003-6a54e0a09aee,Midwife,11,Certified,Surgery,421
10,6650aee8-2a98-4495-9b89-d3838432986a,Midwife,14,Uncertified,General,9923
11,c85ea40e-05aa-4842-bf93-5d24bf9eba03,Doctor,9,Certified,Obstetrics,5414
12,b59331df-56fc-495a-9779-54da55357f3b,Nurse,5,Certified,Pediatrics,4618
13,f8aa3be3-610b-4363-8505-61f8a16e8381,Doctor,24,Certified,Surgery,7736
14,2cea4994-4219-4e92-a8e6-7bc059c328fb,Nurse,6,Uncertified,Obstetrics,4194
15,f8434845-8032-4ee2-a5f2-d47ebdd427f3,Doctor,17,Certified,General,3386
16,c0c88368-81ad-4b3b-a138-ecb03f2e3130,Midwife,11,Uncertified,Pediatrics,9266
17,f16e09b5-d96b-4d4e-acc6-34234167a8cc,Doctor,30,Certified,Obstetrics,1366
18,fdddee70-d87a-4da7-b890-a006c7629201,Midwife,12,Certified,Obstetrics,4723
19,16e9ca3c-73bb-41f0-bff4-fb393b41e31a,Doctor,15,Uncertified,Pediatrics,9442
20,06fd4d08-ce94-46ac-8454-b3e0fd176bf3,Nurse,14,Certified,General,9698
21,cc9ea702-e095-4016-8a41-e22a32caa4c4,Nurse,8,Uncertified,Obstetrics,9641
22,af9cc0d0-a1c3-4b46-85cf-161cad397e91,Midwife,13,Certified,General,8078
23,5684b61e-fdeb-47e0-87e3-265250942b90,Doctor,28,Certified,General,7127
24,acb06f5b-5aab-497d-910c-dc31d8fc4966,Doctor,20,Uncertified,Pediatrics,1897
25,0756682b-6c8a-4284-89b5-bbba69078c49,Doctor,26,Uncertified,Obstetrics,5954
26,01c72a9d-fe12-4c0d-bb1a-1f9f024516b6,Doctor,23,Certified,Obstetrics,418
27,99d96906-17bc-499c-9613-5e13d9ea0055,Doctor,15,Uncertified,Obstetrics,4451
28,fabb2364-a4be-4e4b-a9e5-c6e1f48d4c8c,Midwife,28,Uncertified,General,1338
29,c682fe96-7f1d-41b0-a6f5-c6d5233e21ef,Doctor,1,Uncertified,Surgery,6168
30,f7fb06b9-3875-4c18-b4da-a45b265ba3cd,Nurse,18,Uncertified,Obstetrics,96
31,964893f0-ccc3-4e47-a05c-39d885cd00a4,Midwife,9,Uncertified,Obstetrics,8417
32,afde8320-445d-428e-a837-83fc78b93e7f,Nurse,2,Uncertified,Obstetrics,711
33,a6d16c6e-1957-4f0c-b0c2-598c202e608c,Doctor,13,Uncertified,Surgery,4507
34,c4157951-f745-424e-ba0e-2638db741def,Nurse,14,Uncertified,Surgery,7990
35,cd8c43ee-df4e-4131-be66-0c0571ece133,Midwife,9,Certified,Surgery,90
36,87c6c8f8-cc3f-4853-a3fc-f9fa35292a32,Midwife,26,Uncertified,General,6882
37,a87a90a7-5e1e-47ee-88fa-f5053b543bdb,Doctor,32,Uncertified,Pediatrics,4004
38,f13aa48f-0e2b-4b42-9fef-e149c93e1531,Midwife,3,Uncertified,General,5212
39,addec0fa-d675-4c5e-9328-fbb094b7d0cf,Doctor,18,Uncertified,Pediatrics,6154
40,fad6d030-057f-44a4-b373-8569a187f6df,Midwife,21,Uncertified,Obstetrics,868
41,4236158b-3194-4d43-95e1-d191ca3d02cf,Midwife,31,Certified,General,2803
42,9ac4667d-b754-4fdc-87e8-914c07853a8a,Doctor,24,Uncertified,Surgery,5994
43,aed70096-6809-4364-95c4-c4cb92d6948b,Nurse,34,Certified,General,3273
44,087c46f9-5c57-4417-a829-8ac0eb315783,Nurse,5,Uncertified,Pediatrics,359
45,3060b97b-11d3-4b12-9d0e-77178b291819,Doctor,32,Uncertified,Pediatrics,7011
46,ca6cac03-b173-4fd8-8db4-05ea696fded2,Doctor,21,Certified,Pediatrics,378
47,c0ed0afd-e43f-474b-9b2b-8060427690d4,Midwife,27,Certified,Pediatrics,4249
48,3d948f32-04ee-41f5-b27b-26e4c60d8dfa,Midwife,33,Uncertified,General,8643
49,a0dc819e-8716-43de-90f5-87a8466c9854,Nurse,3,Certified,General,5907
50,3056786c-45a2-45bc-8fdd-7514407b0c89,Nurse,19,Uncertified,Obstetrics,862
51,794ef7a4-f611-48d0-bed9-6c70df2182e2,Doctor,1,Certified,General,3504
52,03fe14e2-08af-425f-b6a1-41c3d01d9f73,Midwife,4,Certified,Surgery,4265
53,cf7b05a7-2c37-49be-ab83-5025b0e72b39,Midwife,27,Uncertified,Obstetrics,4488
54,54aa09c2-9206-4d57-ad8e-4c6d7cacf611,Nurse,23,Certified,Pediatrics,2538
55,55dbb9e7-938f-4e9c-a927-fd46b6683f46,Nurse,4,Uncertified,Surgery,1327
56,4e0cad29-1fc5-487a-b5b7-0895e0536baa,Midwife,20,Certified,Surgery,2766
57,f4644b99-980a-4ee9-ae65-e66bcfb16cfd,Nurse,12,Uncertified,Pediatrics,3531
58,9cf148bd-48fb-40f1-814d-1f465afb7584,Nurse,31,Uncertified,General,557
59,9379d429-6d80-4fe3-a31f-67d3bfb468fd,Nurse,9,Certified,General,4204
60,d5d6ab99-2360-4ccf-8b2e-da84544d3500,Nurse,13,Certified,Pediatrics,2487
61,c0671841-bdeb-4419-bb20-f45e15a4a4cc,Nurse,34,Certified,Pediatrics,4181
62,b2000682-d7b2-4172-b9d9-c4a1b25ae1fa,Midwife,33,Uncertified,Pediatrics,9043
63,d840efbd-5a8d-4167-b81c-9aa5b2badc88,Doctor,30,Certified,General,2401
64,57c168fb-7982-44a4-a163-e6976f643c79,Midwife,22,Uncertified,Obstetrics,2046
65,f79c539a-01fc-4fc0-8020-18a82b267d9a,Nurse,7,Uncertified,Surgery,9471
66,f7830f48-6a37-47f4-9cbc-272c03112d06,Doctor,36,Uncertified,General,1814
67,fefd0e2f-e395-4602-be13-8ea5ee22cb37,Nurse,17,Certified,General,2025
68,dd45a2db-b7ec-4579-ae4b-9e58e34f8ce2,Nurse,9,Certified,Pediatrics,5183
69,72636386-fe29-49b2-a5fa-fc31111c3918,Doctor,4,Certified,Surgery,2033
70,76014bc2-4e58-4d58-8559-d7563466cdef,Doctor,38,Certified,General,6008
71,48d9548e-c87c-481d-a98a-221b9478259f,Nurse,28,Uncertified,Pediatrics,3046
72,95c783cb-51a5-44c3-8052-aeb5b2764db8,Midwife,32,Certified,Pediatrics,2736
73,ac959cb0-5023-4f5c-bbf6-d1782f22c9f6,Midwife,18,Uncertified,Surgery,9906
74,b62b56d5-68c7-46d2-90ec-e4481e174c87,Nurse,5,Certified,General,5259
75,d2c494e1-3a5b-401d-8d01-69b3367de663,Doctor,2,Uncertified,Pediatrics,2277
76,e8d181dc-474b-4340-ac2d-1000298ce609,Nurse,11,Certified,Surgery,1297
77,7c8595cc-9b25-4656-83ae-de2dbb76e48f,Midwife,30,Uncertified,Pediatrics,7090
78,f49ee85f-afd5-40eb-9752-17cbb7eb2737,Nurse,27,Uncertified,Pediatrics,3740
79,0d92c5bf-0bd2-4470-9a2c-8e5baefae7b6,Nurse,15,Uncertified,Pediatrics,7662
80,77125222-0344-4031-b1e8-a350172ad6ea,Nurse,24,Certified,Surgery,195
81,1a7b0888-f229-4380-b748-e0058e622f61,Midwife,19,Uncertified,General,8464
82,9f7a7852-b64c-4e97-aede-dc51201d7cc9,Midwife,1,Certified,Pediatrics,578
83,567cbd94-a7f7-4868-a2e1-cd0c48abb1bb,Nurse,28,Uncertified,General,6577
84,132c22da-f3b8-405d-a7b0-6b7c72cf08f9,Doctor,8,Certified,General,8366
85,0a7bf7f2-3d49-41d7-bd0a-239abcd7bda6,Midwife,22,Uncertified,Obstetrics,4717
