initiative_key,initiative_name,start_date,end_date,coverage_percentage
1,Initiative 1,2022-10-25,2026-06-05,62.273320316370885
2,Initiative 2,2016-02-02,2028-05-17,53.55236790286746
3,Initiative 3,2018-09-06,2026-10-21,93.23449937406033
4,Initiative 4,2015-12-16,2027-08-30,80.5214607817841
5,Initiative 5,2016-11-16,2027-08-14,99.13995796604587
6,Initiative 6,2017-07-22,2025-11-14,92.52259502024583
7,Initiative 7,2015-03-01,2025-11-07,93.48166336095741
8,Initiative 8,2020-05-20,2028-04-24,79.89248403413366
9,Initiative 9,2022-10-13,2029-06-12,54.047135223302234
10,Initiative 10,2021-10-26,2028-09-25,95.66981310329382
11,Initiative 11,2015-06-26,2028-05-05,55.89431170746184
12,Initiative 12,2020-05-20,2029-05-02,75.85730046792845
13,Initiative 13,2022-10-13,2029-10-03,92.8427869055822
14,Initiative 14,2015-06-11,2028-01-26,73.62040071616605
15,Initiative 15,2023-05-12,2025-02-11,58.28351770787915
16,Initiative 16,2023-04-16,2029-11-11,68.65984243534552
17,Initiative 17,2018-08-25,2027-11-05,99.41936801049411
18,Initiative 18,2021-09-21,2025-04-19,99.98795932456214
19,Initiative 19,2021-05-22,2026-05-28,85.54174950238712
20,Initiative 20,2016-04-01,2026-09-22,94.39961546772278
21,Initiative 21,2024-11-01,2026-07-23,52.21033640822903
22,Initiative 22,2022-02-17,2029-06-12,63.79857874912456
23,Initiative 23,2015-06-03,2029-05-21,68.4479774686916
24,Initiative 24,2020-11-05,2028-08-12,50.599882373409095
25,Initiative 25,2021-06-02,2026-05-28,68.84807777984743
26,Initiative 26,2018-06-21,2029-05-21,54.65157925297001
27,Initiative 27,2019-03-09,2029-02-17,75.87046510078034
28,Initiative 28,2016-02-02,2028-07-21,50.2209654449465
29,Initiative 29,2019-03-09,2025-04-15,63.522494428357575
30,Initiative 30,2015-06-11,2029-02-23,93.31417013171057
31,Initiative 31,2015-06-01,2025-12-11,60.65290269601323
32,Initiative 32,2023-05-29,2028-09-25,53.24217148244741
33,Initiative 33,2023-11-13,2026-03-05,62.48653922247275
34,Initiative 34,2019-03-17,2025-09-21,91.37793530017434
35,Initiative 35,2021-06-02,2025-12-11,79.35936817472657
36,Initiative 36,2021-03-24,2029-03-01,79.30371846687703
37,Initiative 37,2022-06-12,2026-12-08,50.028700583375105
38,Initiative 38,2021-09-23,2025-03-26,73.60756069378056
39,Initiative 39,2018-10-25,2029-07-08,63.2809019850618
40,Initiative 40,2022-06-12,2027-08-14,66.81045061081974
41,Initiative 41,2019-01-15,2026-05-28,79.93433188340606
42,Initiative 42,2015-06-11,2027-10-21,93.71698875626774
43,Initiative 43,2021-10-03,2028-07-21,59.08284529189388
44,Initiative 44,2015-10-18,2026-12-08,88.41110118342735
45,Initiative 45,2015-12-24,2029-03-01,52.44510887192187
46,Initiative 46,2023-08-01,2026-12-21,66.33645829563048
47,Initiative 47,2016-04-11,2025-11-07,60.94563448399257
48,Initiative 48,2015-06-03,2029-05-16,95.77919918364776
49,Initiative 49,2024-07-20,2026-11-29,58.89989531829247
50,Initiative 50,2020-06-06,2026-12-21,78.93159590655057
51,Initiative 51,2021-09-23,2027-02-22,58.239158287761995
52,Initiative 52,2019-01-15,2027-08-14,73.674185763834
53,Initiative 53,2016-07-16,2028-02-25,70.66999506825404
54,Initiative 54,2016-04-10,2025-09-21,52.06785961169239
55,Initiative 55,2021-01-23,2025-04-15,91.2933796850302
56,Initiative 56,2023-02-14,2029-05-16,89.00563575583219
57,Initiative 57,2023-02-14,2029-02-23,63.89291860339026
58,Initiative 58,2020-05-20,2026-03-05,80.69975684479766
59,Initiative 59,2015-06-20,2027-02-22,68.13347904403892
60,Initiative 60,2024-07-20,2027-11-05,88.46135716399775
61,Initiative 61,2016-04-10,2027-11-05,84.62422281414288
62,Initiative 62,2016-10-22,2025-04-01,54.523349055998096
63,Initiative 63,2021-03-24,2028-06-20,92.20940826849315
64,Initiative 64,2015-03-01,2029-08-27,58.971305254752096
65,Initiative 65,2023-02-14,2027-07-17,58.70548512326968
66,Initiative 66,2016-02-24,2029-09-01,86.68734374097758
67,Initiative 67,2018-03-02,2026-07-23,59.1625530695381
68,Initiative 68,2022-10-13,2027-06-19,56.11984767707143
69,Initiative 69,2019-08-09,2029-08-18,66.77914136142405
70,Initiative 70,2018-07-11,2028-08-20,91.93562404015884
71,Initiative 71,2018-01-28,2029-01-19,58.84043791162607
72,Initiative 72,2015-02-14,2026-08-11,66.95364965589101
73,Initiative 73,2016-06-01,2027-03-26,64.31269752886283
