infrastructure_key,road_quality,access_to_water,access_to_electricity,mobile_network_coverage,internet_coverage
1,Poor,High,Full Access,5G,Full Access
2,Poor,Moderate,No Access,3G,Limited Access
3,Fair,Limited,Partial Access,3G,Full Access
4,Fair,Limited,Full Access,3G,No Access
5,Poor,Moderate,Partial Access,3G,Full Access
6,Fair,High,Partial Access,2G,No Access
7,Poor,Limited,Partial Access,5G,No Access
8,Good,Moderate,No Access,4G,Full Access
9,Poor,High,No Access,4G,Full Access
10,Good,Moderate,Partial Access,5G,Full Access
11,Poor,Limited,Full Access,5G,No Access
12,Poor,Limited,No Access,2G,No Access
13,Poor,Limited,Partial Access,3G,Full Access
14,Fair,High,Full Access,4G,Full Access
15,Fair,Moderate,No Access,4G,Full Access
16,Poor,Moderate,No Access,3G,No Access
17,Good,Limited,No Access,3G,Full Access
18,Poor,Limited,Partial Access,2G,Full Access
19,Fair,Limited,No Access,3G,Limited Access
20,Excellent,Moderate,No Access,3G,No Access
21,Excellent,High,No Access,5G,Limited Access
22,Fair,Limited,Partial Access,5G,Limited Access
23,Good,High,No Access,2G,No Access
24,Good,Moderate,Partial Access,5G,No Access
25,Fair,Moderate,Full Access,5G,No Access
26,Excellent,High,Partial Access,2G,No Access
27,Excellent,High,Full Access,2G,No Access
28,Good,Limited,Full Access,2G,Limited Access
29,Good,High,No Access,3G,Full Access
30,Excellent,Limited,Full Access,2G,Full Access
31,Poor,Moderate,Full Access,4G,Limited Access
32,Good,Moderate,No Access,4G,No Access
33,Excellent,High,Full Access,2G,Limited Access
34,Poor,Limited,No Access,5G,Full Access
35,Good,Limited,Partial Access,3G,Limited Access
36,Fair,Moderate,No Access,4G,No Access
37,Fair,Limited,No Access,3G,No Access
38,Excellent,Limited,Partial Access,3G,Full Access
39,Good,Limited,No Access,2G,Limited Access
40,Excellent,Limited,Partial Access,2G,Full Access
41,Good,Moderate,Partial Access,5G,No Access
42,Excellent,Limited,Full Access,3G,Limited Access
43,Poor,Limited,Partial Access,4G,Limited Access
44,Poor,Moderate,No Access,4G,Full Access
45,Good,High,Full Access,2G,Limited Access
46,Excellent,High,No Access,4G,Full Access
47,Poor,Moderate,No Access,3G,No Access
48,Fair,Moderate,No Access,4G,No Access
49,Poor,Limited,Partial Access,5G,No Access
50,Fair,Limited,No Access,4G,No Access
51,Fair,Limited,Partial Access,2G,Limited Access
52,Fair,High,No Access,5G,Full Access
53,Excellent,High,No Access,2G,No Access
54,Good,High,Full Access,4G,No Access
55,Excellent,Moderate,Full Access,5G,Full Access
56,Poor,Limited,Full Access,4G,No Access
57,Excellent,High,Partial Access,3G,No Access
58,Excellent,Limited,No Access,3G,No Access
59,Poor,Limited,No Access,2G,Limited Access
60,Fair,High,Partial Access,2G,Full Access
61,Excellent,Limited,No Access,4G,No Access
62,Excellent,Limited,Full Access,2G,No Access
63,Excellent,Limited,Full Access,2G,Full Access
64,Poor,High,Partial Access,4G,Full Access
65,Excellent,Moderate,No Access,5G,Full Access
66,Fair,High,No Access,3G,Full Access
67,Excellent,High,Partial Access,5G,Full Access
68,Excellent,High,No Access,4G,Full Access
69,Poor,Moderate,No Access,2G,No Access
70,Excellent,Limited,No Access,5G,Full Access
71,Excellent,Moderate,Full Access,3G,Limited Access
72,Good,High,Full Access,5G,Full Access
73,Excellent,Limited,Partial Access,3G,Full Access
74,Good,Limited,No Access,3G,No Access
75,Excellent,High,Partial Access,3G,Limited Access
76,Good,Moderate,Full Access,3G,No Access
77,Excellent,High,Partial Access,4G,No Access
78,Excellent,Limited,Full Access,2G,No Access
79,Good,High,No Access,4G,No Access
80,Excellent,Moderate,Partial Access,3G,Limited Access
81,Excellent,Limited,Full Access,5G,Limited Access
82,Excellent,Moderate,Partial Access,4G,Full Access
83,Excellent,High,Full Access,3G,Full Access
84,Fair,Moderate,No Access,2G,Limited Access
85,Poor,Moderate,Partial Access,3G,No Access
86,Poor,High,Partial Access,3G,Limited Access
87,Excellent,High,No Access,4G,No Access
88,Good,High,Partial Access,4G,No Access
89,Poor,High,Full Access,4G,Limited Access
90,Excellent,Limited,Full Access,3G,No Access
91,Fair,Moderate,Partial Access,2G,No Access
92,Fair,Moderate,Partial Access,4G,Limited Access
93,Fair,High,Full Access,2G,No Access
94,Excellent,High,Partial Access,4G,No Access
95,Fair,Limited,Full Access,4G,Limited Access
96,Fair,High,Full Access,4G,Full Access
97,Fair,High,Partial Access,5G,Full Access
98,Good,Moderate,Full Access,3G,Full Access
99,Excellent,High,No Access,2G,Full Access
100,Good,Limited,Partial Access,4G,Full Access
101,Poor,High,Partial Access,3G,Full Access
102,Fair,Limited,Partial Access,4G,No Access
103,Excellent,Limited,Full Access,4G,Full Access
104,Excellent,High,Partial Access,5G,Limited Access
105,Excellent,Limited,No Access,5G,Full Access
106,Good,Moderate,Full Access,3G,No Access
107,Excellent,Limited,Partial Access,5G,No Access
108,Poor,Limited,No Access,3G,Limited Access
109,Excellent,Limited,Full Access,2G,No Access
110,Fair,High,Partial Access,3G,Full Access
111,Good,High,No Access,3G,No Access
