location_key,district,region,population_density,terrain_type,distance_to_nearest_health_center,regional_health_policy
1,East Jessetown,Southwest,152,Hilly,4.440451311129029,Policy C
2,North Judithbury,East,485,Flat,35.49433776542442,Policy C
3,Ericmouth,East,910,Hilly,32.890149752816455,Policy A
4,Lake Roberto,Littoral,320,Flat,43.68973761555344,Policy A
5,Lake Roberto,Center,156,Flat,12.585304245091908,Policy C
6,Lake Debra,Center,121,Flat,22.780438004908966,Policy B
7,East Jessetown,Adamawa,750,Mountainous,46.32845503495411,Policy A
8,West Michael,Center,70,Hilly,33.1696757816982,Policy B
9,New Roberttown,Center,664,Flat,19.744036436649047,Policy A
10,Jacquelineland,Littoral,171,Flat,7.004912951335789,Policy C
11,Lake Chad,Southwest,516,Flat,13.493007891079257,Policy C
12,East Jill,Center,264,Mountainous,29.270166135724473,Policy B
13,North Judithbury,Far North,380,Mountainous,36.04931340424543,Policy B
14,New Roberttown,Adamawa,508,Hilly,6.658883399168728,Policy B
15,Lisatown,East,137,Hilly,30.180064372180674,Policy B
16,Lake Roberto,East,422,Hilly,27.742388302518176,Policy C
17,Ramirezstad,North,149,Hilly,25.940794611190046,Policy A
18,New Jessica,Far North,921,Flat,34.66109432525939,Policy A
19,North Judithbury,North,713,Hilly,41.953754956631364,Policy C
20,West Michael,North,180,Hilly,16.487989317254986,Policy C
21,Lisatown,North,711,Mountainous,44.50610341049249,Policy C
22,West Michael,North,358,Flat,8.451363824618259,Policy B
23,Lake Chad,Southwest,819,Flat,9.064681552682636,Policy C
24,Lake Roberto,North,393,Flat,13.705217149384234,Policy A
25,Port Keith,Far North,541,Flat,6.416778042580352,Policy B
26,Jacquelineland,Far North,463,Mountainous,11.90080162180244,Policy B
27,Ericmouth,Center,855,Flat,5.767382263690807,Policy B
28,North Judithbury,North,435,Mountainous,41.176744640776825,Policy A
29,Robinsonshire,North,241,Flat,7.378965098387917,Policy C
30,Lake Chad,Littoral,326,Flat,37.491229099212916,Policy C
31,Cassandraton,Center,210,Flat,2.8717364617100203,Policy B
32,Ericmouth,East,509,Flat,47.4517562119388,Policy A
33,Lake Debra,Far North,363,Flat,35.702424332624425,Policy B
34,Lisatown,Northwest,71,Hilly,0.8364291550125333,Policy B
35,Cassandraton,Center,302,Hilly,38.31089675991059,Policy B
36,East Jessetown,Littoral,797,Mountainous,25.947055077926173,Policy A
37,New Roberttown,Adamawa,906,Flat,39.078575931588425,Policy C
38,New Kellystad,Southwest,610,Flat,26.36359204008413,Policy C
39,East Jessetown,North,524,Flat,32.230730452950056,Policy C
40,Herrerafurt,East,108,Flat,39.4234169420545,Policy C
41,Herrerafurt,East,560,Flat,20.552848702098906,Policy A
42,New Jessica,Far North,731,Flat,0.6340534161123783,Policy A
43,Ericmouth,Southwest,525,Flat,42.57235154928683,Policy B
44,East Jill,Center,749,Flat,19.3540729499208,Policy A
45,Port Keith,North,832,Hilly,25.054114937820863,Policy B
46,West Michael,Center,239,Hilly,0.8844487866214514,Policy B
47,East Jessetown,North,736,Hilly,24.85855451232985,Policy C
48,New Kellystad,Center,612,Hilly,49.331126377800615,Policy A
49,New Roberttown,North,925,Flat,14.274249210529097,Policy B
50,West Michael,East,616,Mountainous,20.073204376997715,Policy B
51,North Noahstad,Southwest,293,Mountainous,34.51590482519949,Policy A
52,New Jessica,East,881,Flat,40.8322865424211,Policy C
53,Herrerafurt,Far North,554,Mountainous,21.160885388301963,Policy C
54,Jacquelineland,Littoral,180,Hilly,15.82860908486398,Policy C
55,Lisatown,North,534,Hilly,46.92237709926082,Policy A
56,New Roberttown,Far North,868,Hilly,34.018675850247625,Policy C
57,East Jill,East,696,Flat,6.391554572410484,Policy A
58,Lake Roberto,Littoral,70,Hilly,3.911929967665107,Policy B
59,North Noahstad,Far North,890,Hilly,24.435717614123266,Policy A
60,New Roberttown,Adamawa,216,Flat,11.394458269339985,Policy C
61,Lake Roberto,Southwest,323,Hilly,13.072245292124547,Policy A
62,East Jessetown,Northwest,437,Mountainous,43.945762851978486,Policy A
63,New Kellystad,Center,650,Mountainous,4.933518203657378,Policy C
64,Ericmouth,Northwest,365,Hilly,35.91052370383004,Policy A
65,Port Keith,East,63,Hilly,13.921541542339108,Policy B
66,Herrerafurt,Littoral,291,Flat,38.13624695950482,Policy B
67,Robinsonshire,Adamawa,826,Mountainous,36.25936353094546,Policy B
68,Herrerafurt,East,395,Flat,0.8658991214925047,Policy C
69,Herrerafurt,Northwest,614,Flat,25.70220293961916,Policy B
70,Lisatown,East,947,Hilly,7.396314377713296,Policy A
71,Ericmouth,Littoral,389,Mountainous,43.3782380136445,Policy C
72,New Roberttown,East,141,Hilly,43.643501201689126,Policy C
73,New Jessica,Southwest,416,Flat,21.208117470941023,Policy C
74,Robinsonshire,Southwest,504,Flat,22.49758311332849,Policy A
75,West Michael,Southwest,477,Flat,15.512505500524092,Policy A
76,Lake Roberto,Northwest,558,Flat,35.972011798521535,Policy C
77,Robinsonshire,Littoral,825,Flat,18.253737469809728,Policy A
78,Port Keith,Littoral,992,Mountainous,13.755727488870372,Policy A
79,New Kellystad,Far North,84,Mountainous,21.895437445473156,Policy B
80,Ericmouth,Center,255,Mountainous,5.028632160179207,Policy B
81,West Michael,Northwest,130,Hilly,37.45685862988809,Policy C
82,Lake Roberto,North,981,Hilly,1.1235218629534547,Policy B
83,Cassandraton,Far North,611,Flat,32.4020105452694,Policy B
84,East Jill,Adamawa,921,Flat,9.551794074366185,Policy C
85,Lake Roberto,Southwest,437,Flat,12.004000287613449,Policy C
86,East Jill,Adamawa,51,Flat,31.963783932681977,Policy B
87,Cassandraton,East,439,Hilly,49.65070155625391,Policy C
88,New Kellystad,Littoral,615,Mountainous,38.99701570909126,Policy A
89,Ericmouth,Northwest,155,Flat,11.679061795057903,Policy A
90,New Roberttown,East,821,Flat,9.213225374536123,Policy C
91,Lisatown,Littoral,871,Flat,43.37852707824968,Policy B
92,Jacquelineland,North,526,Mountainous,22.48710542211446,Policy A
93,Cassandraton,Southwest,752,Hilly,7.284113739993695,Policy A
94,Lisatown,Littoral,451,Hilly,43.179465454435935,Policy C
95,Port Jesseville,North,779,Flat,40.89657146925594,Policy B
96,New Kellystad,Far North,605,Mountainous,49.2033650129096,Policy A
97,Port Keith,Far North,211,Mountainous,45.53231249227785,Policy C
98,Lake Debra,Far North,251,Flat,42.66362176369681,Policy B
99,Ericmouth,Southwest,319,Flat,3.1024326916446556,Policy A
100,Lake Debra,Southwest,912,Hilly,5.668560790156842,Policy A
101,Lake Roberto,Adamawa,865,Mountainous,28.664668118054077,Policy C
102,West Michael,Littoral,320,Flat,26.80822269095013,Policy C
103,West Michael,Adamawa,505,Flat,23.169179117232005,Policy A
104,Ericmouth,Littoral,511,Mountainous,20.141071608021917,Policy C
105,Jacquelineland,Littoral,776,Flat,21.84491900078428,Policy C
106,Lake Chad,Littoral,301,Hilly,28.680247739672364,Policy A
107,Jacquelineland,North,751,Flat,0.6027876212040197,Policy C
108,New Kellystad,Southwest,345,Hilly,13.405084319576185,Policy A
109,Herrerafurt,Littoral,774,Flat,26.154846174091197,Policy B
110,Lake Roberto,North,769,Hilly,36.24969688434549,Policy A
111,Lake Debra,Northwest,798,Mountainous,9.120756273572118,Policy B
112,Ramirezstad,North,387,Hilly,27.57061810247793,Policy C
113,Port Jesseville,Far North,928,Hilly,35.865754352346194,Policy C
114,New Roberttown,Center,102,Mountainous,22.50906906673828,Policy A
115,East Jill,Adamawa,841,Mountainous,1.840516116667527,Policy B
116,East Jessetown,Center,971,Hilly,22.738773844049017,Policy A
117,Lake Debra,Southwest,266,Mountainous,15.17402194333558,Policy B
118,Robinsonshire,Far North,813,Flat,46.51765558121575,Policy B
119,Lake Chad,Far North,237,Hilly,6.668362591077204,Policy C
120,New Jessica,North,429,Mountainous,32.79755979760799,Policy A
121,New Roberttown,North,542,Mountainous,3.109628433557807,Policy C
122,New Kellystad,Northwest,90,Mountainous,22.585436671728477,Policy C
123,New Kellystad,Southwest,206,Hilly,27.921984617393992,Policy A
124,New Jessica,Littoral,64,Hilly,15.24876910018484,Policy B
125,Port Keith,Far North,862,Hilly,23.02624395825903,Policy B
126,Ramirezstad,Center,114,Hilly,8.595912829244275,Policy A
127,Ericmouth,East,906,Flat,15.554130548667791,Policy A
128,West Michael,North,888,Mountainous,31.244763083055048,Policy B
129,North Judithbury,Northwest,570,Mountainous,15.439102765127178,Policy C
130,East Jessetown,Adamawa,393,Flat,45.03728238123915,Policy C
131,West Michael,Southwest,178,Hilly,31.606144403228992,Policy C
132,Ericmouth,East,697,Flat,22.213126412581232,Policy C
133,Cassandraton,East,521,Hilly,2.4184683099320323,Policy A
134,East Jessetown,Northwest,112,Hilly,25.227642592631227,Policy A
135,North Noahstad,Adamawa,188,Mountainous,38.35642398519192,Policy B
136,Lake Chad,Northwest,548,Mountainous,13.645101101614475,Policy A
137,Robinsonshire,Center,642,Flat,40.435291697613984,Policy B
138,Port Keith,North,441,Mountainous,12.964434919518633,Policy B
139,North Judithbury,Adamawa,724,Hilly,41.27544620356462,Policy A
140,Ericmouth,Littoral,468,Flat,4.720782909778031,Policy C
141,Ramirezstad,Adamawa,338,Mountainous,43.37609358901696,Policy C
142,Robinsonshire,East,428,Hilly,25.20972932119986,Policy B
143,Ramirezstad,Southwest,822,Mountainous,15.178610686202969,Policy B
144,East Jessetown,East,539,Flat,13.623105895549864,Policy C
145,North Noahstad,Adamawa,280,Hilly,21.884522667052952,Policy B
146,Ramirezstad,Far North,90,Mountainous,49.95295015613043,Policy C
147,New Jessica,Center,77,Flat,11.406205975160336,Policy A
148,Lisatown,North,184,Flat,5.609224119510481,Policy C
149,Lake Debra,Northwest,250,Flat,29.459240851573764,Policy B
150,Herrerafurt,Southwest,889,Hilly,24.68285208879273,Policy B
151,Robinsonshire,Southwest,829,Mountainous,26.447715417633713,Policy B
152,West Michael,Center,979,Flat,33.51330316908224,Policy A
153,Ramirezstad,Northwest,82,Mountainous,13.723631458597142,Policy B
154,North Judithbury,East,97,Mountainous,45.57791727150248,Policy A
155,New Jessica,Far North,552,Hilly,22.065767273053375,Policy C
156,Cassandraton,Adamawa,456,Hilly,6.889766659551858,Policy C
157,Port Jesseville,Northwest,623,Hilly,37.24378845833024,Policy A
158,North Judithbury,Center,777,Mountainous,32.33366545458359,Policy B
159,East Jessetown,Far North,854,Hilly,16.129298422959835,Policy C
160,Herrerafurt,North,148,Mountainous,31.265176839685402,Policy A
161,North Noahstad,Far North,733,Hilly,11.383166840264355,Policy C
162,Lake Roberto,East,921,Mountainous,22.519548287356212,Policy B
163,East Jill,North,775,Mountainous,45.0209198472826,Policy B
164,Lake Roberto,Far North,596,Mountainous,7.1099445414570965,Policy A
165,Jacquelineland,Far North,788,Flat,19.64147427437937,Policy B
166,New Roberttown,Littoral,662,Flat,41.14655002365719,Policy B
167,New Roberttown,Adamawa,992,Hilly,48.48979952060582,Policy A
168,Port Jesseville,Adamawa,511,Flat,22.9693437528789,Policy B
169,New Roberttown,Southwest,692,Mountainous,25.5964811970957,Policy A
170,West Michael,Far North,818,Flat,28.8225121082966,Policy C
171,Lake Debra,Littoral,54,Hilly,46.65123301086869,Policy B
172,Lake Debra,Northwest,267,Mountainous,42.98123615336297,Policy A
173,Port Jesseville,North,552,Flat,8.944755668771394,Policy C
174,West Michael,Center,816,Flat,22.119511983430215,Policy C
175,Robinsonshire,Adamawa,447,Flat,23.4680211957231,Policy C
176,Ericmouth,East,920,Flat,39.560257526613455,Policy C
177,Ramirezstad,Northwest,844,Flat,30.343197688969045,Policy B
178,New Jessica,Northwest,442,Flat,32.88391287043614,Policy C
179,Lake Chad,East,256,Flat,49.910895429448075,Policy B
180,Lisatown,East,64,Flat,4.210522151765646,Policy B
181,West Michael,Adamawa,907,Mountainous,11.538986264919783,Policy C
182,Lisatown,Northwest,603,Hilly,20.69084889989157,Policy A
183,North Noahstad,Southwest,941,Mountainous,17.715228950919915,Policy A
184,New Kellystad,Southwest,510,Flat,1.5714552866756877,Policy C
185,Herrerafurt,Southwest,740,Flat,5.042991520323204,Policy B
186,Port Keith,Center,624,Mountainous,34.20718792447702,Policy C
187,Ramirezstad,North,913,Hilly,44.02656093644675,Policy B
188,Port Keith,Littoral,792,Mountainous,25.95423705766589,Policy B
189,East Jessetown,Northwest,290,Mountainous,27.189958435924833,Policy B
190,Lake Roberto,Far North,613,Hilly,13.12712492520278,Policy A
191,Lake Roberto,Far North,145,Mountainous,38.509879999868716,Policy B
192,New Roberttown,Northwest,949,Mountainous,37.71383207467919,Policy C
193,Cassandraton,Center,783,Flat,29.624101616274004,Policy A
194,North Judithbury,Littoral,534,Mountainous,11.026882182311471,Policy B
195,Jacquelineland,North,456,Flat,5.302401802735928,Policy B
196,West Michael,East,280,Hilly,3.6798095049277317,Policy B
197,Lake Roberto,Northwest,798,Flat,29.83845529882245,Policy A
198,Jacquelineland,Center,704,Hilly,41.3392482975686,Policy B
199,Lake Roberto,Littoral,220,Hilly,42.98735637315578,Policy B
200,North Judithbury,North,590,Mountainous,23.449292680000767,Policy A
201,New Roberttown,Far North,85,Flat,39.32142931568249,Policy C
202,East Jill,Northwest,574,Mountainous,47.37056971888067,Policy C
203,Lake Roberto,Far North,209,Flat,14.120920568159367,Policy A
204,New Roberttown,Southwest,888,Mountainous,20.19903714584748,Policy A
205,East Jill,Center,748,Flat,46.60821013353569,Policy A
206,Cassandraton,Littoral,292,Hilly,17.242432882205602,Policy C
207,New Roberttown,Southwest,135,Flat,45.73687637092892,Policy C
208,Ramirezstad,Far North,845,Mountainous,49.06172068159606,Policy B
209,Lake Roberto,East,627,Mountainous,33.259631064434025,Policy B
210,Ericmouth,Adamawa,731,Mountainous,40.936069330456334,Policy A
211,Port Jesseville,Northwest,606,Hilly,37.602505428943715,Policy C
212,Lisatown,Far North,623,Mountainous,35.12694575196843,Policy C
213,West Michael,Littoral,695,Hilly,15.693088112571012,Policy B
214,Lake Debra,East,845,Flat,3.3261697264432137,Policy A
215,Jacquelineland,Far North,77,Mountainous,17.481060759722705,Policy B
216,Jacquelineland,Adamawa,669,Hilly,33.51333126759338,Policy B
217,Port Jesseville,East,605,Mountainous,5.575195312276168,Policy C
218,Lake Roberto,North,389,Flat,1.0899401574229834,Policy C
219,Port Jesseville,Center,847,Hilly,7.414772443845464,Policy C
220,Lake Chad,Littoral,380,Flat,35.92892835733437,Policy C
221,Lisatown,Littoral,689,Flat,48.653288231993976,Policy B
222,East Jessetown,Littoral,555,Flat,49.16170263093361,Policy C
223,East Jessetown,Littoral,397,Flat,24.951967882439302,Policy B
224,Lake Chad,East,522,Hilly,43.5329388991212,Policy C
225,Herrerafurt,Southwest,280,Hilly,36.97290955969945,Policy B
226,Lake Chad,Center,239,Mountainous,25.30149173073787,Policy B
227,Lake Chad,East,274,Hilly,28.851646381276794,Policy B
228,Port Keith,Adamawa,434,Flat,7.292743757535118,Policy C
229,East Jill,Littoral,426,Flat,46.91424230052131,Policy C
230,East Jessetown,Northwest,332,Mountainous,17.92052365122295,Policy C
231,East Jill,Far North,682,Hilly,22.58438819462989,Policy C
232,New Kellystad,East,677,Flat,33.74718143439599,Policy B
233,Cassandraton,Far North,794,Flat,17.02817234056442,Policy B
234,East Jessetown,Adamawa,308,Flat,13.08582846895206,Policy A
235,Lake Roberto,Northwest,408,Hilly,31.736944966875917,Policy B
236,Lisatown,Littoral,759,Hilly,1.7367120729515477,Policy C
237,Lisatown,North,505,Flat,36.175893045320606,Policy A
238,West Michael,Littoral,460,Flat,25.944156808887232,Policy B
239,Port Keith,Northwest,698,Flat,30.484809660786254,Policy C
240,Lake Debra,Far North,367,Hilly,31.778067882720812,Policy C
241,Lake Chad,Center,726,Flat,26.5889827463819,Policy A
242,Robinsonshire,Far North,274,Hilly,29.33542198331643,Policy B
243,Ericmouth,East,868,Mountainous,34.347515944048794,Policy C
244,Port Keith,Littoral,283,Hilly,37.77938293539387,Policy A
245,Lake Roberto,Littoral,733,Mountainous,36.50889336866297,Policy A
246,New Roberttown,Southwest,713,Hilly,43.54601465774695,Policy B
247,Port Keith,Littoral,876,Mountainous,9.877449941786436,Policy C
248,West Michael,Northwest,423,Mountainous,20.356824489843977,Policy B
249,East Jessetown,Northwest,721,Hilly,47.41590526771563,Policy A
250,East Jill,Center,657,Flat,20.13123343212332,Policy A
251,West Michael,East,521,Flat,6.681068806843172,Policy A
252,North Judithbury,North,282,Mountainous,26.509533754927887,Policy A
253,New Roberttown,Littoral,741,Mountainous,5.919803141445877,Policy C
254,Lake Roberto,Center,162,Flat,10.541235317029328,Policy B
255,Robinsonshire,Northwest,879,Mountainous,49.916778450262356,Policy C
256,Lake Chad,Southwest,546,Mountainous,27.29745060060853,Policy B
257,Port Jesseville,Northwest,491,Flat,14.560890257501237,Policy A
258,Port Jesseville,Littoral,613,Flat,49.74136025140835,Policy B
259,Lisatown,Adamawa,317,Hilly,48.34466646847959,Policy B
260,New Kellystad,Center,559,Hilly,22.316582533671045,Policy B
261,East Jill,Littoral,856,Hilly,13.389953885001466,Policy B
262,Robinsonshire,Littoral,435,Hilly,42.0007820855634,Policy B
263,New Kellystad,Adamawa,436,Flat,35.9232254901034,Policy B
264,North Judithbury,North,162,Hilly,34.503601032673764,Policy C
265,New Kellystad,Northwest,662,Mountainous,44.70913019546239,Policy B
266,Ericmouth,Far North,674,Mountainous,34.62614812663057,Policy A
267,Port Keith,Center,130,Hilly,14.547998180556682,Policy C
268,North Noahstad,Southwest,748,Mountainous,34.846226512848745,Policy B
269,Lake Chad,Adamawa,162,Mountainous,15.637768808541367,Policy A
270,West Michael,Center,51,Mountainous,38.082329493021255,Policy C
271,Port Jesseville,Adamawa,691,Hilly,31.177518797332517,Policy C
272,Lake Debra,East,269,Flat,4.331871823245153,Policy C
273,Lisatown,Northwest,615,Hilly,25.885350440539533,Policy B
274,North Noahstad,East,904,Hilly,17.493397975189175,Policy A
275,Lisatown,North,785,Flat,16.764246320248567,Policy C
276,East Jill,North,274,Flat,30.311686967674234,Policy A
277,Jacquelineland,Southwest,434,Flat,16.455078811236532,Policy B
278,West Michael,Littoral,452,Hilly,38.956240536141195,Policy B
279,East Jill,Center,687,Mountainous,4.004176082553135,Policy C
280,Cassandraton,Southwest,179,Mountainous,33.18921849359336,Policy B
281,East Jill,Center,102,Hilly,40.55514278100869,Policy B
282,East Jill,Southwest,733,Mountainous,33.80516865106129,Policy C
