socioeconomic_key,employment_status,income_level,access_to_healthcare,education_level,insurance_coverage
1,Employed,1547.7426679925804,Good,Primary,Yes
2,Employed,5729.636758163506,Moderate,Tertiary,Yes
3,Student,8277.86339676097,Moderate,Primary,No
4,Student,3588.6233973094686,Poor,Primary,Yes
5,Employed,2623.3705767641463,Moderate,Primary,Yes
6,Unemployed,2983.760335732532,Moderate,Primary,No
7,Student,3296.9199159552363,Moderate,None,No
8,Employed,2638.4695667483634,Good,Secondary,Yes
9,Employed,761.4813866214163,Good,Secondary,No
10,Student,9199.787321543638,Poor,None,Yes
11,Employed,9010.217929864895,Good,Primary,Yes
12,Unemployed,8538.054277178735,Moderate,Primary,No
13,Unemployed,7692.8782171683215,Good,Tertiary,Yes
14,Unemployed,7507.484497644929,Moderate,Secondary,Yes
15,Employed,7089.064244511324,Moderate,Secondary,Yes
16,Employed,8537.107199512104,Poor,Secondary,Yes
17,Employed,640.2026357667208,Poor,None,Yes
18,Employed,7720.476740423304,Good,Tertiary,Yes
19,Employed,8696.560854003365,Moderate,Primary,Yes
20,Unemployed,6522.887096411887,Good,Secondary,No
21,Unemployed,8502.01016744568,Moderate,Tertiary,Yes
22,Employed,3045.370410935369,Good,Secondary,No
23,Unemployed,3678.879277248073,Moderate,Primary,No
24,Unemployed,6140.518966034795,Good,Secondary,No
25,Student,1501.9437166450066,Moderate,None,Yes
26,Unemployed,1993.12418669036,Moderate,Tertiary,Yes
27,Student,9940.118722613986,Poor,Tertiary,No
28,Employed,7895.621557436692,Good,Tertiary,No
29,Unemployed,1217.165997318459,Poor,Tertiary,No
30,Student,1255.2176186136076,Good,Primary,No
31,Unemployed,3985.916579034592,Poor,Primary,Yes
32,Student,9978.2499919015,Moderate,Secondary,Yes
33,Student,9753.168193697347,Moderate,Secondary,Yes
34,Student,4779.545087036723,Good,Primary,No
35,Student,4475.137694574801,Good,Primary,Yes
36,Employed,5933.213610064558,Good,Primary,Yes
37,Unemployed,6652.794371255791,Good,Primary,Yes
38,Unemployed,2721.6875758468595,Moderate,Secondary,No
39,Student,1790.8477677384512,Poor,Tertiary,Yes
40,Employed,8185.999132351208,Poor,Tertiary,No
41,Employed,3605.576727253392,Good,Secondary,Yes
42,Unemployed,487.5444648313396,Moderate,Primary,Yes
43,Student,8591.04474006784,Moderate,None,No
44,Employed,7371.9436161299145,Moderate,Secondary,No
45,Employed,7240.178611592139,Poor,Secondary,No
46,Employed,6551.09296219496,Moderate,None,Yes
47,Unemployed,4198.522053673273,Moderate,Primary,No
48,Employed,8892.12099540565,Moderate,Primary,Yes
49,Unemployed,3716.9675718648914,Moderate,Secondary,No
50,Unemployed,2751.596903538418,Moderate,Secondary,No
51,Employed,5442.609231138903,Poor,Tertiary,Yes
52,Employed,4689.112312939773,Poor,Secondary,Yes
53,Employed,433.54009165498854,Moderate,Tertiary,Yes
54,Unemployed,2940.5734153513563,Poor,Primary,No
55,Student,3875.3634637314126,Poor,Primary,No
56,Student,7939.31238623488,Poor,Secondary,Yes
57,Employed,4035.0374641555204,Poor,Secondary,No
58,Unemployed,9402.726205806981,Good,Secondary,Yes
59,Unemployed,7432.5522652701175,Poor,Secondary,Yes
60,Student,8209.326169285763,Poor,Secondary,Yes
61,Student,8916.57449970511,Moderate,Secondary,Yes
62,Student,2038.051660522773,Poor,Tertiary,No
63,Unemployed,8044.177645959117,Good,Secondary,Yes
64,Unemployed,2012.6232458350669,Moderate,Primary,Yes
65,Employed,5539.648893370738,Poor,Secondary,Yes
66,Student,3130.0074593162017,Poor,Tertiary,Yes
